Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Edit Task,,,,11-11-2024 19:09:02,11-11-2024 19:14:34,5m - 31.104s,PASSED
,,,,,,,
Test Cases/TC_Edit Task,,,,11-11-2024 19:09:03,11-11-2024 19:10:25,1m - 21.957s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 19:09:03,11-11-2024 19:09:59,55.979s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 19:09:59,11-11-2024 19:09:59,0.171s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Edit""), 0)",,,,11-11-2024 19:09:59,11-11-2024 19:10:01,2.035s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter task title""), eTaskTitle, 0)",,,,11-11-2024 19:10:01,11-11-2024 19:10:03,2.081s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter your task""), eTask, 0)",,,,11-11-2024 19:10:03,11-11-2024 19:10:06,2.628s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Set Date""), 0)",,,,11-11-2024 19:10:06,11-11-2024 19:10:07,1.643s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.view.View - Date-16""), 0)",,,,11-11-2024 19:10:07,11-11-2024 19:10:08,1.266s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - DateOK""), 0)",,,,11-11-2024 19:10:08,11-11-2024 19:10:09,0.297s,PASSED
"tap(findTestObject(""TODO/3.Create Task/android.widget.EditText - Set Time""), 0)",,,,11-11-2024 19:10:09,11-11-2024 19:10:10,0.762s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.SetTimeText Button""), 0)",,,,11-11-2024 19:10:10,11-11-2024 19:10:11,1.796s,PASSED
"setText(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.EditText - SetTimeText Hours""), eTimeHours, 0)",,,,11-11-2024 19:10:11,11-11-2024 19:10:13,2.138s,PASSED
"setText(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.EditText - SetTimeText Minutes""), eTimeMinutes, 0)",,,,11-11-2024 19:10:13,11-11-2024 19:10:16,2.393s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - SetTimeTextAMPM""), 0)",,,,11-11-2024 19:10:16,11-11-2024 19:10:18,1.905s,PASSED
"tap(findTestObject(""TODO/3.Create Task/3.1.SetTimeText/android.widget.CheckedTextView - PM""), 0)",,,,11-11-2024 19:10:18,11-11-2024 19:10:19,0.771s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - TimeOK""), 0)",,,,11-11-2024 19:10:19,11-11-2024 19:10:19,0.188s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - SelectCategory""), 0)",,,,11-11-2024 19:10:19,11-11-2024 19:10:20,1.241s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CheckedTextView - Personal""), 0)",,,,11-11-2024 19:10:20,11-11-2024 19:10:21,1.473s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.CreateTask""), 0)",,,,11-11-2024 19:10:21,11-11-2024 19:10:22,0.189s,PASSED
"verifyElementText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.TextView - Dashboard TaskTitle""), eTaskTitle)",,,,11-11-2024 19:10:22,11-11-2024 19:10:23,1.171s,PASSED
closeApplication(),,,,11-11-2024 19:10:23,11-11-2024 19:10:25,1.698s,PASSED
,,,,,,,
Test Cases/TC_Edit Task,,,,11-11-2024 19:10:25,11-11-2024 19:11:52,1m - 27.485s,PASSED
"callTestCase(findTestCase(""Block/Create Task""), [""TaskTitle"":TaskTitle, ""Task"":Task, ""TimeHours"":TimeHours, ""TimeMinutes"":TimeMinutes], STOP_ON_FAILURE)",,,,11-11-2024 19:10:25,11-11-2024 19:11:25,1m - 0.729s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.ImageButton - TaskOption""), 0)",,,,11-11-2024 19:11:25,11-11-2024 19:11:25,0.180s,PASSED
"tap(findTestObject(""TODO/1.Dashboard/1.1.TaskOption/android.widget.TextView - Edit""), 0)",,,,11-11-2024 19:11:25,11-11-2024 19:11:27,1.986s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter task title""), eTaskTitle, 0)",,,,11-11-2024 19:11:27,11-11-2024 19:11:29,2.010s,PASSED
"setText(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Enter your task""), eTask, 0)",,,,11-11-2024 19:11:29,11-11-2024 19:11:32,2.597s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.EditText - Set Date""), 0)",,,,11-11-2024 19:11:32,11-11-2024 19:11:34,1.657s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.view.View - Date-16""), 0)",,,,11-11-2024 19:11:34,11-11-2024 19:11:35,0.862s,PASSED
"tap(findTestObject(""Object Repository/TODO/3.Create Task/android.widget.Button - DateOK""), 0)",,,,11-11-2024 19:11:35,11-11-2024 19:11:35,0.409s,PASSED
"tap(findTestObject(""TODO/3.Create Task/android.widget.EditText - Set Time""), 0)",,,,11-11-2024 19:11:35,11-11-2024 19:11:36,0.654s,PASSED
