Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Buying Product,Chrome 130.0.0.0,,,13-11-2024 11:28:25,13-11-2024 11:30:25,2m - 0.743s,PASSED
,,,,,,,
Test Cases/TC_Juice/TC_Buying Products,Chrome 130.0.0.0,,,13-11-2024 11:28:25,13-11-2024 11:29:06,41.205s,PASSED
"callTestCase(findTestCase(""TC_Juice/TC_Create Account""), [""Email"":Email, ""Password"":Password], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:28:25,13-11-2024 11:28:38,12.606s,PASSED
"callTestCase(findTestCase(""TC_Juice/Block/Login""), [""Email"":Email, ""Password"":Password], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:28:38,13-11-2024 11:28:42,3.884s,PASSED
"callTestCase(findTestCase(""TC_Juice/Block/Add Address""), [""Country"":Country, ""Name"":Name, ""MNumber"":MNumber, ""ZCode"":ZCode, ""Address"":Address, ""State"":State, ""City"":City], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:28:42,13-11-2024 11:28:48,6.692s,PASSED
"click(findTestObject(""Juice/Add Payment/Button_Account""))",Chrome 130.0.0.0,,,13-11-2024 11:28:48,13-11-2024 11:28:48,0.245s,PASSED
"callTestCase(findTestCase(""TC_Juice/Block/Add Payment""), [""CCName"":CCName, ""CCNumber"":CCNumber, ""CCMonth"":CCMounth, ""CCYear"":CCYear], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:28:48,13-11-2024 11:28:54,5.470s,PASSED
"click(findTestObject(""Juice/Buying Products/button_OWASP Juice Shop""))",Chrome 130.0.0.0,,,13-11-2024 11:28:54,13-11-2024 11:28:54,0.246s,PASSED
"click(findTestObject(""Juice/Buying Products/Button_Add to Basket""))",Chrome 130.0.0.0,,,13-11-2024 11:28:54,13-11-2024 11:28:55,0.779s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Add to Basket_1""))",Chrome 130.0.0.0,,,13-11-2024 11:28:55,13-11-2024 11:28:57,1.740s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Add to Basket_1_2_3""))",Chrome 130.0.0.0,,,13-11-2024 11:28:57,13-11-2024 11:28:58,1.736s,PASSED
"click(findTestObject(""Juice/Buying Products/button_cart""))",Chrome 130.0.0.0,,,13-11-2024 11:28:58,13-11-2024 11:29:00,1.229s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Checkout""))",Chrome 130.0.0.0,,,13-11-2024 11:29:00,13-11-2024 11:29:00,0.758s,PASSED
"click(findTestObject(""Juice/Buying Products/span_RadioAddress""))",Chrome 130.0.0.0,,,13-11-2024 11:29:00,13-11-2024 11:29:01,0.680s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:29:01,13-11-2024 11:29:02,0.468s,PASSED
click(Delivery),Chrome 130.0.0.0,,,13-11-2024 11:29:02,13-11-2024 11:29:02,0.769s,PASSED
select_delivery = Delivery,Chrome 130.0.0.0,,,13-11-2024 11:29:02,13-11-2024 11:29:02,0.001s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:29:02,13-11-2024 11:29:03,0.467s,PASSED
"click(findTestObject(""Juice/Buying Products/span_RadioPayment""))",Chrome 130.0.0.0,,,13-11-2024 11:29:03,13-11-2024 11:29:04,0.755s,PASSED
"click(findTestObject(""Juice/Buying Products/button_navigate_next Continue""))",Chrome 130.0.0.0,,,13-11-2024 11:29:04,13-11-2024 11:29:04,0.471s,PASSED
"click(findTestObject(""Juice/Buying Products/button_Place your order and pay""))",Chrome 130.0.0.0,,,13-11-2024 11:29:04,13-11-2024 11:29:05,0.687s,PASSED
"verifyElementText(findTestObject(""Juice/Buying Products/h1_Thank you for your purchase""), ""Thank you for your purchase!"")",Chrome 130.0.0.0,,,13-11-2024 11:29:05,13-11-2024 11:29:06,1.294s,PASSED
switch (select_delivery),Chrome 130.0.0.0,,,13-11-2024 11:29:06,13-11-2024 11:29:06,0.000s,PASSED
,,,,,,,
Test Cases/TC_Juice/TC_Buying Products,Chrome 130.0.0.0,,,13-11-2024 11:29:06,13-11-2024 11:29:46,39.598s,PASSED
"callTestCase(findTestCase(""TC_Juice/TC_Create Account""), [""Email"":Email, ""Password"":Password], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:29:06,13-11-2024 11:29:18,11.917s,PASSED
"callTestCase(findTestCase(""TC_Juice/Block/Login""), [""Email"":Email, ""Password"":Password], STOP_ON_FAILURE)",Chrome 130.0.0.0,,,13-11-2024 11:29:18,13-11-2024 11:29:22,3.789s,PASSED
